dates,etcs,parks,results,times,year
03.31(금),-,대구,KIA win 7 vs lose 2 삼성,19:00,2017
03.31(금),-,대구,KIA win 7 vs lose 2 삼성,19:00,2017
03.31(금),-,잠실,한화 lose 0 vs win 3 두산,19:00,2017
03.31(금),-,고척,LG win 2 vs lose 1 넥센,19:00,2017
03.31(금),-,고척,LG win 2 vs lose 1 넥센,19:00,2017
03.31(금),-,마산,롯데 lose 5 vs win 6 NC,19:00,2017
03.31(금),-,잠실,한화 lose 0 vs win 3 두산,19:00,2017
03.31(금),-,문학,KT win 3 vs lose 2 SK,19:00,2017
03.31(금),-,문학,KT win 3 vs lose 2 SK,19:00,2017
03.31(금),-,마산,롯데 lose 5 vs win 6 NC,19:00,2017
04.01(토),-,잠실,한화 win 6 vs lose 5 두산,14:00,2017
04.02(일),-,잠실,한화 lose 4 vs win 5 두산,14:00,2017
04.04(화),-,대전,NC lose 0 vs win 6 한화,18:30,2017
04.05(수),우천취소,대전,NCvs 한화,18:30,2017
04.06(목),-,대전,NC win 5 vs lose 2 한화,18:30,2017
04.07(금),-,광주,한화 lose 2 vs win 4 KIA,18:30,2017
04.08(토),-,광주,한화 win 4 vs lose 3 KIA,17:00,2017
04.09(일),-,광주,한화 lose 2 vs win 3 KIA,14:00,2017
04.11(화),-,대구,한화 win 11 vs lose 8 삼성,18:30,2017
04.12(수),-,대구,한화 win 5 vs lose 3 삼성,18:30,2017
04.13(목),-,대구,한화 lose 1 vs win 5 삼성,18:30,2017
04.14(금),-,대전,SK win 6 vs lose 2 한화,18:30,2017
04.01(토),-,마산,롯데 win 3 vs lose 0 NC,17:00,2017
04.02(일),-,마산,롯데 win 12 vs lose 4 NC,14:00,2017
04.04(화),-,사직,넥센 lose 2 vs win 5 롯데,18:30,2017
04.15(토),-,대전,SK win 12 vs lose 4 한화,17:00,2017
04.16(일),-,대전,SK win 10 vs lose 1 한화,14:00,2017
04.18(화),-,대전,LG lose 2 vs win 3 한화,18:30,2017
04.05(수),우천취소,사직,넥센vs 롯데,18:30,2017
04.06(목),-,사직,넥센 lose 3 vs win 12 롯데,18:30,2017
04.07(금),-,사직,LG win 6 vs lose 4 롯데,18:30,2017
04.01(토),-,대구,KIA win 9 vs lose 7 삼성,14:00,2017
04.02(일),-,대구,KIA lose 3 vs win 16 삼성,14:00,2017
04.04(화),-,광주,SK lose 1 vs win 6 KIA,18:30,2017
04.01(토),-,고척,LG win 8 vs lose 3 넥센,14:00,2017
04.02(일),-,고척,LG win 9 vs lose 2 넥센,14:00,2017
04.19(수),-,대전,LG lose 0 vs win 3 한화,18:30,2017
04.20(목),-,대전,LG win 4 vs lose 3 한화,18:30,2017
04.21(금),-,수원,한화 win 7 vs lose 2 KT,18:30,2017
04.08(토),-,사직,LG lose 6 vs win 8 롯데,17:00,2017
04.09(일),-,사직,LG lose 1 vs win 7 롯데,14:00,2017
04.11(화),-,문학,롯데 win 6 vs lose 4 SK,18:30,2017
04.05(수),우천취소,광주,SKvs KIA,18:30,2017
04.06(목),-,광주,SK lose 4 vs win 6 KIA,18:30,2017
04.07(금),-,광주,한화 lose 2 vs win 4 KIA,18:30,2017
04.04(화),-,사직,넥센 lose 2 vs win 5 롯데,18:30,2017
04.05(수),우천취소,사직,넥센vs 롯데,18:30,2017
04.01(토),-,문학,KT win 2 vs lose 0 SK,17:00,2017
04.02(일),-,문학,KT win 8 vs lose 1 SK,14:00,2017
04.04(화),-,광주,SK lose 1 vs win 6 KIA,18:30,2017
04.22(토),-,수원,한화 lose 9 vs win 11 KT,17:00,2017
04.23(일),-,수원,한화 win 14 vs lose 1 KT,14:00,2017
04.25(화),-,사직,한화 lose 2 vs win 4 롯데,18:30,2017
04.12(수),-,문학,롯데 lose 1 vs win 2 SK,18:30,2017
04.13(목),-,문학,롯데 lose 10 vs win 11 SK,18:30,2017
04.01(토),-,잠실,한화 win 6 vs lose 5 두산,14:00,2017
04.02(일),-,잠실,한화 lose 4 vs win 5 두산,14:00,2017
04.04(화),-,수원,두산 win 2 vs lose 0 KT,19:00,2017
04.08(토),-,광주,한화 win 4 vs lose 3 KIA,17:00,2017
04.09(일),-,광주,한화 lose 2 vs win 3 KIA,14:00,2017
04.11(화),-,잠실,KIA lose 4 vs win 16 두산,18:30,2017
04.01(토),-,고척,LG win 8 vs lose 3 넥센,14:00,2017
04.02(일),-,고척,LG win 9 vs lose 2 넥센,14:00,2017
04.04(화),-,잠실,삼성 lose 0 vs win 11 LG,18:30,2017
04.06(목),-,사직,넥센 lose 3 vs win 12 롯데,18:30,2017
04.07(금),-,잠실,넥센 win 7 vs lose 3 두산,18:30,2017
04.08(토),-,잠실,넥센 win 13 vs lose 10 두산,17:00,2017
04.01(토),-,대구,KIA win 9 vs lose 7 삼성,14:00,2017
04.02(일),-,대구,KIA lose 3 vs win 16 삼성,14:00,2017
04.05(수),우천취소,광주,SKvs KIA,18:30,2017
04.06(목),-,광주,SK lose 4 vs win 6 KIA,18:30,2017
04.07(금),-,문학,NC win 5 vs lose 3 SK,18:30,2017
04.26(수),-,사직,한화 lose 2 vs win 8 롯데,18:30,2017
04.27(목),-,사직,한화 win 6 vs lose 1 롯데,18:30,2017
04.01(토),-,문학,KT win 2 vs lose 0 SK,17:00,2017
04.02(일),-,문학,KT win 8 vs lose 1 SK,14:00,2017
04.04(화),-,수원,두산 win 2 vs lose 0 KT,19:00,2017
04.14(금),-,사직,삼성 lose 6 vs win 9 롯데,18:30,2017
04.15(토),-,사직,삼성 lose 4 vs win 6 롯데,17:00,2017
04.16(일),-,사직,삼성 win 3 vs lose 0 롯데,14:00,2017
04.05(수),우천취소,수원,두산vs KT,18:30,2017
04.06(목),-,수원,두산 lose 1 vs win 5 KT,18:30,2017
04.07(금),-,잠실,넥센 win 7 vs lose 3 두산,18:30,2017
04.12(수),-,잠실,KIA win 8 vs lose 4 두산,18:30,2017
04.13(목),-,잠실,KIA win 4 vs lose 3 두산,18:30,2017
04.14(금),-,광주,넥센 lose 2 vs win 3 KIA,18:30,2017
04.05(수),우천취소,잠실,삼성vs LG,18:30,2017
04.06(목),-,잠실,삼성 lose 0 vs win 4 LG,18:30,2017
04.09(일),-,잠실,넥센 win 13 vs lose 2 두산,14:00,2017
04.11(화),-,고척,KT lose 2 vs win 12 넥센,18:30,2017
04.12(수),-,고척,KT lose 3 vs win 5 넥센,18:30,2017
04.04(화),-,잠실,삼성 lose 0 vs win 11 LG,18:30,2017
04.05(수),우천취소,잠실,삼성vs LG,18:30,2017
04.06(목),-,잠실,삼성 lose 0 vs win 4 LG,18:30,2017
04.01(토),-,마산,롯데 win 3 vs lose 0 NC,17:00,2017
04.02(일),-,마산,롯데 win 12 vs lose 4 NC,14:00,2017
